saved,educ_low,female,age,educ,emp_in,mobileowner
0,1,2,50,1,1,1
0,1,1,16,2,1,2
1,1,1,69,1,2,2
0,1,1,63,2,2,1
0,1,2,35,2,1,1
0,1,1,44,2,1,1
1,0,1,44,3,1,1
0,1,1,59,2,1,1
0,0,1,72,4,2,2
0,1,1,60,1,2,1
1,1,2,18,2,1,1
1,0,1,62,3,1,1
1,0,2,33,3,1,1
0,1,1,18,2,2,1
1,1,2,15,2,2,1
0,1,2,35,1,1,1
1,0,2,49,3,1,1
0,1,2,67,1,1,2
1,1,1,56,2,2,1
0,1,2,32,2,1,1
0,1,1,26,2,1,1
0,1,1,19,2,1,1
0,1,2,38,2,1,1
0,1,1,43,2,1,1
0,1,2,36,2,1,1
1,1,2,35,2,1,1
1,0,2,34,3,1,1
0,1,2,37,2,1,1
0,1,2,27,2,1,1
0,1,2,28,2,1,1
1,0,2,28,3,1,1
1,1,1,20,2,2,2
0,1,2,24,2,2,1
1,0,2,60,3,1,1
1,1,1,20,2,1,1
1,0,1,30,3,1,1
1,0,2,44,3,1,1
0,1,2,22,2,1,1
1,1,1,20,2,1,1
1,0,2,55,3,1,1
0,1,1,25,2,2,1
1,1,2,64,2,2,1
0,1,2,26,2,1,1
0,1,1,48,1,2,1
0,1,1,26,2,1,1
0,0,2,58,3,1,1
0,1,2,43,1,1,1
0,1,1,35,1,1,1
1,1,2,25,2,1,1
1,1,1,23,2,1,2
1,1,1,23,2,1,1
0,1,2,63,1,1,1
0,1,2,18,2,2,1
1,0,1,44,3,1,1
0,1,1,33,2,1,1
0,1,1,65,2,1,1
0,1,1,65,2,2,1
0,1,1,71,1,2,2
1,1,1,15,2,2,1
0,1,2,40,1,1,1
0,1,2,77,2,2,1
1,0,2,31,3,1,1
0,1,1,60,1,1,2
1,1,2,34,2,1,1
1,1,2,22,2,1,1
1,0,1,26,3,1,1
1,1,2,24,2,1,1
1,0,2,24,3,1,1
0,1,1,21,2,1,1
0,0,2,20,3,1,1
1,1,1,40,2,1,1
0,1,2,39,2,1,1
1,1,2,35,2,1,1
0,0,1,56,3,1,1
1,0,1,58,3,1,1
1,1,1,52,2,1,1
0,1,2,19,2,1,1
1,1,2,32,2,1,1
1,1,1,32,2,1,1
0,0,1,53,3,1,1
0,1,1,58,1,1,1
0,1,1,27,2,1,1
1,1,2,20,2,1,1
0,1,1,66,1,2,1
0,1,1,45,1,1,1
1,0,1,25,3,1,1
1,1,1,16,2,2,1
0,1,1,66,1,2,1
0,1,1,74,1,2,1
