"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","account_mob","fin1_1a","fin1_1b","fin2","fin4","fin4a","fin5","fin6","fin7","fin8","fin8a","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14_2","fin14_2_China","fin14a","fin14a1","fin14b","fin14c","fin14c_2","fin14c_2_China","fin16","fin17a","fin17a1","fin17b","fin20","fin22a","fin22b","fin22c","fin24","fin24a","fin24b","fin26","fin27_1","fin27c1","fin27c2","fin28","fin29_1","fin29c1","fin29c2","fin30","fin31a","fin31b","fin31b1","fin31b1_China","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin35","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin42","fin42a","fin43a","fin43b","fin43d","fin43e","fin44a","fin44b","fin44c","fin44d","fin45","fin45_1","fin45_1_China","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Peru","PER",189036120,1.05363438863309,2,19,2,5,1,2,1,1,1,2,2,1,1,1,1,1,2,,,,1,1,1,1,1,,,,,,,,,,2,1,2,1,1,1,,1,1,2,,,,2,1,1,2,2,2,2,,1,3,2,1,1,,,1,1,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,1,1,1,2,1,,1,0,4,4,4,4,4,1,1,1,1,1
"Peru","PER",186864951,0.516787609215801,1,45,2,1,1,1,0,0,0,,,2,,,,,,,,,,,,,,1,2,1,1,2,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,0,0,4,4,4,4,2,5,1,2,0,0
"Peru","PER",133008321,1.73762572984746,2,61,2,4,1,2,1,1,0,,,1,2,,1,2,2,,,,1,1,1,1,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,2,2,2,2,2,,3,2,2,2,,,,2,,,,1,2,2,,,1,1,1,1,2,,,2,1,2,2,2,2,2,2,,,,,,2,1,1,1,4,1,,0,0,1,3,4,4,2,5,1,1,1,0
"Peru","PER",145721441,0.787583807327855,2,21,2,5,1,2,1,1,1,,,1,1,1,1,1,2,,,,1,1,1,1,1,,,,,,,,,,,,,,1,1,,2,1,2,,,,2,1,,2,1,1,1,,3,3,2,1,2,2,1,1,1,,,1,2,1,1,,,1,2,1,1,,,1,2,2,,,,,2,,,,,,2,2,3,3,2,2,,1,1,1,4,4,4,1,1,1,1,1,1
"Peru","PER",143504179,1.09069268196155,1,15,2,2,1,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,1,3,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,1,2,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,1,1,1,2,1,,1,1,4,4,4,4,4,5,1,1,0,0
"Peru","PER",121719111,0.750520224546724,2,30,2,4,1,2,1,1,1,1,2,1,1,1,1,1,2,,,,1,1,1,1,2,,,,,,,,,,1,2,2,1,1,2,,1,1,1,3,2,,2,2,2,2,2,2,2,,2,2,2,1,1,,,1,1,,,1,1,1,2,,,1,2,1,1,,,1,2,2,,,,,2,,,,,,2,1,2,1,2,2,,0,0,1,4,4,4,1,1,1,1,1,1
"Peru","PER",118352634,0.791535053581253,2,29,2,4,1,2,1,1,0,,,1,2,,2,1,2,,,,1,1,1,1,2,,,,,,,,,,,,,,2,,,2,2,2,,,,1,2,,2,2,2,2,,3,2,1,2,,,,1,1,,,1,1,2,1,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,2,2,1,,1,0,4,4,4,4,1,1,1,1,1,0
"Peru","PER",150491407,0.30596290571263,1,21,2,3,1,2,0,0,0,,,2,,,,,,,,,,,,,,1,1,1,2,2,2,3,1,4,,,,,2,,,2,2,2,,,,2,2,,2,2,2,3,,3,2,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,2,2,1,,0,0,4,4,4,4,4,5,2,2,0,0
"Peru","PER",160968135,0.902003956714764,1,15,2,2,2,1,0,0,0,,,2,,,,,,,,,,,,,,1,1,2,1,2,2,2,1,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,2,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,1,2,2,4,1,,0,0,4,4,4,4,4,5,1,1,0,0
"Peru","PER",128285997,1.97399591916357,2,42,2,1,1,2,1,1,0,,,2,,,,,,,,,,,,,,,2,1,1,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,6,1,1,2,,,,2,,,,1,1,2,1,,,1,2,2,2,1,,,2,2,,,,,2,,,,,,1,1,1,1,3,1,,0,1,2,4,4,4,1,5,1,2,1,0
