"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","fin1_1a","fin1_1b","fin2","fin4","fin4a","fin5","fin6","fin7","fin8","fin8a","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14_2","fin14_2_China","fin14a","fin14a1","fin14b","fin14c","fin14c_2","fin14c_2_China","fin16","fin17a","fin17a1","fin17b","fin20","fin22a","fin22b","fin22c","fin24","fin24a","fin24b","fin26","fin27_1","fin27c1","fin27c2","fin28","fin29_1","fin29c1","fin29c2","fin30","fin31a","fin31b","fin31b1","fin31b1_China","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin35","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin42","fin42a","fin43a","fin43b","fin43d","fin43e","fin44a","fin44b","fin44c","fin44d","fin45","fin45_1","fin45_1_China","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Ecuador","ECU",160141557,3.28457694260293,1,77,1,5,1,,0,0,,,2,,,,,,,,,,,,,,2,1,1,2,2,2,2,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,8,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,3,2,1,,0,0,4,4,4,4,4,5,2,2,0,0
"Ecuador","ECU",172188851,2.73774435572648,2,38,1,3,1,,0,0,,,2,,,,,,,,,,,,,,1,2,1,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,2,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,1,1,1,2,1,,0,0,4,4,4,4,4,5,1,2,0,0
"Ecuador","ECU",164052785,0.801521774842287,2,29,3,4,1,,1,1,2,2,1,2,,1,1,2,,,,2,,2,,2,,,,,,,,,,,,,,2,,,2,1,2,,,,2,2,,2,2,2,2,,2,2,2,2,,,,1,1,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,2,2,2,3,1,,0,0,4,4,4,4,2,1,1,1,1,0
"Ecuador","ECU",151301944,0.467383870299515,1,30,2,3,1,,1,1,1,2,1,1,2,1,2,2,,,,1,2,1,1,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,1,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,1,2,1,,1,1,4,4,4,4,2,5,1,1,1,0
"Ecuador","ECU",176632276,0.754325647952367,1,21,2,3,1,,1,1,2,2,1,2,,2,2,2,,,,2,,1,2,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,2,2,2,,,,2,,,,1,1,1,1,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,2,2,1,,0,0,4,4,4,4,1,5,1,1,1,0
"Ecuador","ECU",177949947,0.487115768027263,2,35,2,3,1,,1,1,1,2,1,2,,2,2,2,,,,1,1,1,1,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,2,1,2,,,,2,,,,1,1,2,1,,,1,2,1,,,,2,2,2,,,,,2,,,,,,2,1,2,2,2,1,,0,0,1,4,4,4,1,5,1,1,1,0
"Ecuador","ECU",159782819,0.634956572782932,2,56,2,5,1,,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,,,,,,,,,,,,,,2,2,,2,2,2,,,,2,1,,2,2,1,2,,1,2,1,1,1,,,1,1,,,1,1,2,2,,,1,2,2,,1,,,2,1,2,,2,2,1,2,1,,,,1,1,2,1,2,1,,1,1,2,4,3,1,1,1,1,1,1,1
"Ecuador","ECU",125114023,0.969478971452519,2,22,2,1,1,,1,1,1,2,1,2,,2,1,1,2,,2,2,,2,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,2,2,1,2,1,1,2,,,,1,2,2,,,1,1,2,2,,1,,,3,2,,,,,1,1,2,,1,,2,2,2,1,2,1,,1,0,2,5,4,2,2,2,1,1,0,0
"Ecuador","ECU",204416644,2.70259644863475,2,49,1,5,1,,1,1,1,2,1,1,1,1,1,2,,,,1,1,1,1,1,,,,,,,,,,,,,,1,2,,2,2,2,,,,1,2,,2,2,2,2,,1,3,3,2,,,,2,,,,1,1,1,2,,,2,,,,,,,2,2,,,,,1,1,1,,,,3,3,3,3,,3,,1,0,4,4,4,1,1,5,1,1,1,1
"Ecuador","ECU",116823120,1.97069460083933,1,56,1,1,1,,0,0,,,2,,,,,,,,,,,,,,2,2,1,2,1,2,2,4,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,2,2,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,3,2,3,3,,3,,0,0,4,4,4,4,2,5,1,1,0,0
