"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","fin1_1a","fin1_1b","fin2","fin4","fin4a","fin5","fin6","fin7","fin8","fin8a","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14_2","fin14_2_China","fin14a","fin14a1","fin14b","fin14c","fin14c_2","fin14c_2_China","fin16","fin17a","fin17a1","fin17b","fin20","fin22a","fin22b","fin22c","fin24","fin24a","fin24b","fin26","fin27_1","fin27c1","fin27c2","fin28","fin29_1","fin29c1","fin29c2","fin30","fin31a","fin31b","fin31b1","fin31b1_China","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin35","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin42","fin42a","fin43a","fin43b","fin43d","fin43e","fin44a","fin44b","fin44c","fin44d","fin45","fin45_1","fin45_1_China","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Ecuador","ECU",113121858,3.2520540668969,2,70,1,3,1,,1,1,1,2,2,,,2,2,2,,,,2,,2,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,1,1,,2,2,2,2,,5,2,1,2,,,,2,,,,2,,,,,,1,1,2,,1,,,2,2,,,,,1,2,2,,2,2,3,2,3,2,4,2,,1,0,2,4,4,3,4,5,1,1,0,0
"Ecuador","ECU",142346860,0.727522208112566,1,27,2,3,1,,1,1,2,1,1,2,,1,1,1,2,,2,1,1,1,1,1,,,,,,,,,,,,,,2,,,1,2,2,,,,2,2,,2,2,2,2,,3,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,1,1,1,3,2,,0,0,4,4,4,4,4,5,1,1,1,0
"Ecuador","ECU",205061756,0.487115768027263,2,35,2,2,1,,1,1,1,2,1,2,,2,2,1,1,2,1,2,,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,1,1,,4,3,2,2,,,,2,,,,1,2,2,,,1,1,2,2,,1,,,2,2,,,,,2,,,,,,2,1,2,1,2,2,,0,1,2,4,4,4,2,5,1,1,1,0
"Ecuador","ECU",120552750,0.752263616998564,2,25,2,2,1,,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,,1,,,,,,,,,,,,,,1,2,,1,1,1,3,2,,2,2,,2,2,2,2,,3,1,1,1,1,,,1,2,2,1,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,1,1,1,2,1,,1,1,4,4,4,4,4,1,1,1,1,1
"Ecuador","ECU",117428663,0.888052883717055,1,19,2,3,2,,1,1,,,1,2,,2,1,2,,,,1,2,2,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,2,2,1,2,,,,1,1,,,1,2,2,,,1,1,2,2,,1,,,2,2,,,,,2,,,,,,1,1,2,1,4,1,,0,1,2,4,4,4,2,1,1,1,1,0
"Ecuador","ECU",170162792,0.693879860304489,2,30,2,5,1,,1,1,1,2,1,2,,1,2,2,,,,1,2,1,1,2,,,,,,,,,,,,,,2,,,2,2,2,,,,1,2,,2,2,2,2,,2,3,2,1,1,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,3,3,1,2,,1,0,4,4,4,4,4,1,1,1,1,0
"Ecuador","ECU",164760894,3.70418679888929,2,27,1,1,1,,0,0,,,2,,,,,,,,,,,,,,2,1,1,2,1,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,1,2,2,,1,,2,,,,,,1,1,1,1,2,1,,1,0,4,2,4,4,2,5,1,2,0,0
"Ecuador","ECU",161989591,1.27504522121539,1,17,2,1,1,,0,0,,,2,,,,,,,,,,,,,,1,1,2,2,2,2,2,1,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,1,1,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,1,1,1,3,1,,0,0,4,4,4,4,2,1,1,1,0,0
"Ecuador","ECU",164658533,0.503355725180834,1,20,2,2,1,,0,0,,,2,,,,,,,,,,,,,,1,2,1,2,2,2,2,1,2,,,,,2,,,2,2,2,,,,1,2,,2,2,2,1,,3,2,6,2,,,,1,2,2,2,2,,,,,,1,2,2,,1,,,2,2,,,,,2,,,,,,2,1,2,1,4,1,,1,1,2,4,4,4,4,4,1,2,0,0
"Ecuador","ECU",145166494,0.896278900348255,2,30,2,5,1,,1,1,1,2,1,2,,2,2,1,2,,2,1,2,2,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,1,2,,4,1,1,2,,,,2,,,,1,2,2,,,1,1,2,1,,,,2,2,2,,,,,2,,,,,,1,1,1,1,4,1,,1,1,1,4,4,4,2,5,1,2,1,0
