"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","account_mob","fin1_1a","fin1_1b","fin2","fin4","fin4a","fin5","fin6","fin7","fin8","fin8a","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14_2","fin14_2_China","fin14a","fin14a1","fin14b","fin14c","fin14c_2","fin14c_2_China","fin16","fin17a","fin17a1","fin17b","fin20","fin22a","fin22b","fin22c","fin24","fin24a","fin24b","fin26","fin27_1","fin27c1","fin27c2","fin28","fin29_1","fin29c1","fin29c2","fin30","fin31a","fin31b","fin31b1","fin31b1_China","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin35","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin42","fin42a","fin43a","fin43b","fin43d","fin43e","fin44a","fin44b","fin44c","fin44d","fin45","fin45_1","fin45_1_China","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Bolivia","BOL",139070329,0.558537013237239,1,35,2,5,1,,1,1,1,1,1,1,2,,1,1,2,,,,1,1,1,1,1,,,,,,,,,,2,2,2,1,2,,,1,2,2,,,,2,2,2,1,2,2,2,1,3,2,1,2,,,,2,,,,1,2,1,2,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,3,3,2,1,,1,1,4,4,4,4,1,5,1,1,1,0
"Bolivia","BOL",129935758,0.86963980418096,2,30,3,1,1,,0,0,0,,,2,,,,,,,,,,,,,,1,1,1,2,2,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,2,1,2,,,,2,,,,1,2,2,,,1,1,2,2,2,1,,,2,2,,,,,1,1,2,2,1,,2,1,1,1,2,2,,0,0,2,4,4,2,2,5,1,1,0,0
"Bolivia","BOL",123203408,0.483906386743977,2,30,2,5,1,,1,1,0,1,2,2,,,1,1,2,,,,1,2,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,1,2,,1,1,2,1,2,3,2,2,2,,,,2,,,,1,2,2,,,1,1,2,2,2,1,,,2,2,,,,,2,,,,,,2,2,3,3,2,2,,1,1,2,4,4,4,2,5,1,1,1,0
"Bolivia","BOL",174254305,0.501440981398467,1,25,2,5,1,,1,1,0,1,2,1,2,,2,2,1,1,2,2,1,2,1,2,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,2,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,1,1,2,,,2,,,,,,5,3,1,2,4,2,,0,1,4,4,1,4,4,5,1,1,1,0
"Bolivia","BOL",131425561,0.805579894416194,1,39,2,4,2,,0,0,0,,,2,,,,,,,,,,,,,,2,1,1,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,8,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,3,,0,0,4,4,4,4,4,5,1,1,0,0
"Bolivia","BOL",139876054,0.935883006127513,2,49,2,4,1,,1,1,0,2,2,1,2,,2,2,2,,,,1,2,2,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,1,1,,2,2,1,4,,3,3,3,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,1,1,2,2,1,,2,3,3,3,,2,,1,1,4,4,4,2,2,5,1,1,0,0
"Bolivia","BOL",133793617,1.31343121236947,2,42,3,3,1,,1,1,0,1,1,1,2,,2,2,2,,,,2,,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,3,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,2,2,2,4,1,,0,0,4,4,4,4,4,5,1,1,0,0
"Bolivia","BOL",120821852,0.910836827688182,2,18,2,4,1,,0,0,0,,,2,,,,,,,,,,,,,,3,1,1,2,1,1,1,1,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,2,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,1,2,3,2,2,,1,1,4,4,4,4,4,5,1,1,0,0
"Bolivia","BOL",131582425,0.436921998088712,1,48,3,5,1,,1,1,0,2,2,1,2,,2,2,2,,,,1,1,1,1,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,3,2,3,2,,,,1,2,1,1,1,2,2,,,1,1,2,1,2,,,2,2,2,,,,,2,,,,,,2,1,2,1,2,2,,1,1,1,4,4,4,2,2,1,1,1,0
"Bolivia","BOL",196582787,0.449634400534921,1,41,2,4,1,,1,1,0,2,2,1,2,,2,2,2,,,,2,,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,2,2,2,1,2,,4,2,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,0,1,4,4,4,4,2,5,1,1,0,0
"Bolivia","BOL",146172392,0.791860745844395,1,30,2,1,1,,1,1,0,2,2,2,,,2,2,2,,,,1,2,1,2,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,1,1,2,2,,,,1,2,1,2,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,1,2,2,4,2,,0,1,4,4,4,4,4,3,1,1,0,0
"Bolivia","BOL",194165544,4.06018349591661,1,54,1,2,1,,1,1,0,,,1,2,,2,2,2,,,,2,,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,8,,,2,,,,2,,,,2,,,,,,2,,,,,,,1,2,2,2,1,,1,1,2,2,1,,1,1,1,3,1,1,,0,0,4,2,4,2,4,5,1,1,0,0
"Bolivia","BOL",187207128,2.57374639431252,1,16,2,1,2,,1,1,0,,,2,,,,,,,,,,,,,,,2,2,2,2,1,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,2,2,2,,,,2,,,,2,,,,,,2,,,,,,,1,2,1,2,,,2,,,,,,3,3,3,3,,3,,0,0,4,1,4,4,4,5,1,1,1,0
"Bolivia","BOL",116334356,0.501440981398467,1,25,5,2,1,,1,1,0,2,2,1,2,,2,2,2,,,,2,,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,2,2,2,,,,1,2,2,1,1,1,2,1,,,1,2,2,2,1,,,1,2,2,2,2,2,2,,,,,,2,1,1,1,2,1,,1,0,2,3,4,4,1,2,1,4,1,0
"Bolivia","BOL",186781759,0.650624323857288,2,52,3,5,1,,1,1,0,1,2,1,1,1,2,1,2,,,,1,1,1,1,1,,,,,,,,,,,,,,2,2,,2,2,2,,,,2,2,2,2,2,2,1,,3,1,1,2,,,,2,,,,1,2,2,,,1,1,2,1,2,,,1,2,2,,,,,2,,,,,,1,1,1,3,3,1,,0,1,1,4,4,4,2,5,1,1,1,1
"Bolivia","BOL",149142980,0.665107921660524,1,33,2,2,1,,1,1,0,2,1,2,,,2,1,2,,,,2,,2,,2,,,,,,,,,,,,,,2,,,2,2,1,2,1,,2,2,,1,2,2,2,2,5,2,2,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,1,1,2,2,1,,2,2,2,2,2,2,,1,0,4,4,4,2,2,5,1,1,0,0
"Bolivia","BOL",125921679,0.876246310030355,2,45,3,5,1,,1,1,0,1,2,1,2,,2,2,2,,,,1,2,1,1,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,3,3,1,1,,,1,1,,,1,1,2,2,,,1,1,1,2,,,2,1,1,2,2,1,,1,1,1,2,,,2,2,2,3,5,4,,1,0,1,2,2,1,1,1,1,1,1,0
"Bolivia","BOL",197989051,1.62980918628393,1,20,2,4,2,,1,1,1,1,2,1,1,1,1,1,2,,,,1,1,1,1,1,,,,,,,,,,1,1,2,1,1,1,,1,1,1,1,1,,2,1,1,2,2,2,2,,4,2,2,2,,,,2,,,,1,1,1,1,,,2,,,,,,,1,2,2,2,1,,2,,,,,,2,2,2,1,4,1,,1,0,4,2,4,4,1,5,1,1,1,1
"Bolivia","BOL",182668330,0.461083722812731,1,22,2,5,1,,1,1,0,1,2,1,2,,2,2,2,,,,2,,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,3,2,1,2,1,2,2,,,,1,2,2,,,1,1,2,2,2,1,,,2,2,,,,,1,2,2,2,1,,2,2,2,3,2,2,,1,0,2,4,4,2,2,3,1,1,0,0
"Bolivia","BOL",154679256,0.346412666166973,2,27,2,4,1,,1,1,0,1,2,1,2,,2,2,2,,,,1,2,1,2,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,3,2,1,1,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,1,1,2,2,1,,2,1,2,2,2,2,,0,0,4,4,4,2,2,1,1,1,1,0
"Bolivia","BOL",190952212,0.50604782471374,2,32,3,5,1,,1,1,0,1,1,1,1,2,2,2,2,,,,1,2,1,1,1,,,,,,,,,,,,,,2,,,2,2,2,,,,1,1,,1,2,2,2,1,1,3,1,1,2,1,1,2,,,,1,1,2,2,,,1,1,1,2,,,2,2,1,1,2,,,2,,,,,,2,1,2,3,2,2,,1,1,1,4,1,4,1,2,1,1,1,0
