Accuracy,MacroF1,TPR_gap_squared,DP_gap,Welfare,seed,lambda_norm
0.68,0.569480985410189,0.0002414557697501,0.0740350877192982,206.530922676516,0.0,0.3
0.6933333333333334,0.5714285714285714,0.0003389594976263,0.0703030303030303,206.12826436500407,1.0,0.3
0.6533333333333333,0.505578093306288,0.0001969836872883,0.0188700564971751,214.76349218605327,2.0,1.0
0.66,0.4876431585292344,1.5581717451524082e-05,0.0007017543859648,228.13492889928975,3.0,2.0
0.6733333333333333,0.5188216039279869,2.804422975664561e-06,0.0182795698924731,211.9259258943793,4.0,1.0
0.6933333333333334,0.5532245532245532,0.0007174744897959,0.0122033898305083,214.87323240642093,5.0,2.0
0.68,0.5436105476673428,2.770083102493092e-05,0.0094871794871794,218.32692832761185,6.0,2.0
0.6666666666666666,0.5594454887218046,0.0005751630949161,0.0337634408602149,211.05655264638725,7.0,0.3
0.6866666666666666,0.5745579627059321,0.0001138645151695,0.0466666666666667,208.11353465558645,8.0,0.6
0.6866666666666666,0.5663939971707976,0.0001108033240997,0.0325925925925926,207.51194876867547,9.0,0.6
