Accuracy,MacroF1,TPR_gap_squared,DP_gap,Welfare,seed,lambda_hat
0.5933333333333334,0.5867021997380188,0.0008428720083246629,0.0547826086956521,221.6990288132402,0,5.0
0.5933333333333334,0.5817142857142857,2.2675736961451085e-05,0.0658333333333333,240.39527197096191,1,5.0
0.5333333333333333,0.513888888888889,0.0015077030242559987,0.06333333333333335,233.37329300089112,2,5.0
0.56,0.5463709677419355,8.939607845078192e-05,0.022608695652173938,238.3619914592694,3,5.0
0.5666666666666667,0.5498407128676301,0.0007021278854934227,0.029523809523809508,234.29856463477722,4,5.0
0.5466666666666666,0.5277777777777778,0.0019753086419753143,0.043529411764705817,242.17696710770588,5,5.0
0.58,0.565936337329475,0.0001953983119435788,0.09047619047619038,223.54798698001156,6,5.0
0.49333333333333335,0.4691748929037065,0.004499229066891724,0.08504504504504506,239.39295601769857,7,5.0
0.5866666666666667,0.56695846526355,0.0022675736961451295,0.08901960784313723,226.36017833273007,8,5.0
0.5733333333333334,0.5670995670995671,0.0020799281366887692,0.10999999999999999,235.82197163237697,9,5.0
