Accuracy,MacroF1,TPR_gap_squared,DP_gap,Welfare,seed,lambda_norm
0.7133333333333334,0.7022023177432014,1.849924846803076e-05,0.07043478260869568,203.5858265601699,0,0.0
0.7066666666666667,0.69896004378763,2.8905075731298364e-05,0.06608695652173913,203.16641522867297,0,0.3
0.7066666666666667,0.69896004378763,2.8905075731298364e-05,0.06608695652173913,203.28632815394002,0,0.6
0.7066666666666667,0.7032907750404604,0.001669557174239799,0.05623188405797108,204.00756285593394,0,1.0
0.6733333333333333,0.6733188141695187,0.0007226268932824651,0.05768115942028984,207.37391232658499,0,2.0
0.5933333333333334,0.5867021997380188,0.0008428720083246629,0.0547826086956521,221.6990288132402,0,5.0
0.5733333333333334,0.563953488372093,0.008475686570924667,0.09791666666666665,214.22826789778475,1,0.0
0.6,0.5953965114188096,0.006298815822625337,0.10479166666666667,214.21164490488212,1,0.3
0.6266666666666667,0.625601711535033,0.007077349458301845,0.11395833333333338,214.810241342064,1,0.6
0.64,0.6399359886201992,0.0029125724363819635,0.08958333333333335,216.19342288787914,1,1.0
0.62,0.6171241771528369,6.298815822625302e-05,0.08333333333333337,221.26689954028862,1,2.0
0.5933333333333334,0.5817142857142857,2.2675736961451085e-05,0.0658333333333333,240.39527197096191,1,5.0
0.6666666666666666,0.6617965367965368,0.013569327218303989,0.06666666666666665,209.20297436032672,2,0.0
0.66,0.6555760659132862,0.013569327218303989,0.06,208.99865269548292,2,0.3
0.6533333333333333,0.6493436432296349,0.013569327218303989,0.053333333333333344,209.41278081080063,2,0.6
0.6533333333333333,0.6511003757380569,0.0250599869534621,0.07666666666666666,210.59720481507222,2,1.0
0.62,0.6191706382789185,0.006795904471936383,0.06666666666666665,215.24614447503183,2,2.0
0.5333333333333333,0.513888888888889,0.0015077030242559987,0.06333333333333335,233.37329300089112,2,5.0
0.62,0.6124031007751938,0.0008364255921484905,0.00260869565217392,209.78910011439376,3,0.0
0.6666666666666666,0.6651785714285714,2.7839609206126293e-06,0.016231884057971047,210.31009785589032,3,0.3
0.6466666666666666,0.6458955057681173,2.7839609206126293e-06,0.010724637681159388,211.2867421182462,3,0.6
0.6466666666666666,0.6466509622649895,0.00035758431380312767,0.028695652173913122,213.0607397575972,3,1.0
0.6133333333333333,0.6116071428571428,2.5055648285512552e-05,0.04231884057971014,218.7295825341654,3,2.0
0.56,0.5463709677419355,8.939607845078192e-05,0.022608695652173938,238.3619914592694,3,5.0
0.68,0.6753246753246753,0.005267950052029143,0.05714285714285716,208.00939665793737,4,0.0
0.6733333333333333,0.67003367003367,0.003186784599375645,0.05301587301587296,208.1844716857355,4,0.3
0.68,0.677938808373591,0.003588948586718762,0.04888888888888887,208.878163217162,4,0.6
0.6533333333333333,0.6523444464253878,0.003588948586718762,0.06984126984126982,210.3543367042484,4,1.0
0.6066666666666667,0.6045399705080656,1.327273885621026e-06,0.03841269841269834,215.49067375282704,4,2.0
0.5666666666666667,0.5498407128676301,0.0007021278854934227,0.029523809523809508,234.29856463477722,4,5.0
0.6066666666666667,0.6036899377546907,0.0027437641723356047,0.022745098039215705,210.15725917061343,5,0.0
0.6266666666666667,0.625601711535033,0.002421264802217188,0.011960784313725492,211.03977289826108,5,0.3
0.6266666666666667,0.62640099626401,0.006553287981859418,0.00921568627450986,212.32642311345586,5,0.6
0.62,0.6198479391756703,0.0008163265306122455,0.002941176470588225,214.45048545610962,5,1.0
0.6266666666666667,0.6242619431025228,0.0034492315444696413,0.045882352941176485,220.8518321206884,5,2.0
0.5466666666666666,0.5277777777777778,0.0019753086419753143,0.043529411764705817,242.17696710770588,5,5.0
0.76,0.7525659824046921,0.008158168574401667,0.15809523809523807,202.59848270664224,6,0.0
