Accuracy,MacroF1,TPR_gap_squared,DP_gap,Welfare,seed,lambda_hat
0.6066666666666667,0.6036899377546907,0.00020024919900320546,0.05702127659574463,224.58519525554345,0,5.0
0.6066666666666667,0.6065092703748166,0.0017713611989706244,0.1241860465116279,220.27611720829344,1,5.0
0.6266666666666667,0.6266002844950214,0.00030333606476225087,0.1941666666666666,211.66350741886765,2,5.0
0.72,0.71875,0.0009010294537334262,0.020000000000000018,213.07449059899608,3,5.0
0.5733333333333334,0.5733333333333334,0.0008224991100035558,0.15333333333333343,229.60183328271586,4,5.0
0.6133333333333333,0.6127136752136753,0.0002455337213171977,0.156734693877551,221.24433595475182,5,5.0
0.54,0.5353535353535354,0.008899964400142395,0.1644444444444444,227.51743934763763,6,5.0
0.6133333333333333,0.6132645803698435,0.0030864197530864226,0.127719298245614,220.87101979581516,7,5.0
0.56,0.56,0.007371696765636159,0.19673469387755105,224.69703156052933,8,5.0
0.56,0.5592948717948718,0.00020024919900320546,0.13142857142857145,236.85536991032393,9,5.0
