Accuracy,MacroF1,TPR_gap_squared,DP_gap,Welfare,seed,lambda_norm
0.66,0.6026180458158018,0.0014865800650218923,0.014035087719298234,209.89658581184827,0,0.0
0.66,0.6114976385150577,6.729651720334079e-07,0.022456140350877174,209.19075977611732,0,0.3
0.6533333333333333,0.6137849079025549,4.306977101014102e-05,0.02421052631578946,209.0058069094239,0,0.6
0.66,0.6263736263736264,0.00015141716370752634,0.039298245614035054,209.30459710931638,0,1.0
0.6266666666666667,0.6064467766116941,6.72965172033499e-07,0.05368421052631578,211.64636032368372,0,2.0
0.6,0.5988589766446781,0.002756465344649014,0.0557894736842105,223.44173857149224,0,5.0
0.7066666666666667,0.6629901960784313,0.0014836762688614576,0.05333333333333329,208.23608514742625,1,0.0
0.7,0.6641623961391114,0.001720713305898498,0.055087719298245574,207.374107597111,1,0.3
0.6733333333333333,0.6469571064892646,0.0019753086419753044,0.0368421052631579,207.07938822996826,1,0.6
0.6466666666666666,0.6263219741480611,0.0006721536351165971,0.014385964912280669,207.28508097999196,1,1.0
0.6333333333333333,0.6169738613677516,0.002247462277091911,0.005263157894736803,209.54433430227706,1,2.0
0.5733333333333334,0.5730297100160113,0.0016598079561042527,0.03578947368421059,221.5618519908453,1,5.0
0.7533333333333333,0.7181453455893556,0.0011534353862584544,0.015757575757575748,199.07795925041748,2,0.0
0.7533333333333333,0.7238668590477138,0.0013123531505874002,0.025454545454545452,198.22747852431354,2,0.3
0.74,0.7116948400768813,0.0013123531505874002,0.03030303030303033,197.8994577081172,2,0.6
0.7333333333333333,0.7082279712118265,0.003289996440014249,0.010303030303030314,198.0285610881151,2,1.0
0.7333333333333333,0.7129186602870814,0.0035548593805624787,0.020000000000000018,199.98455752283124,2,2.0
0.6733333333333333,0.6721530844373076,0.0007797792808828799,0.06787878787878787,210.78412869382714,2,5.0
0.74,0.7142857142857143,0.02252573634333562,0.01809523809523811,199.11996085372317,3,0.0
0.72,0.6985645933014354,0.031213131345821755,0.008571428571428563,198.96130872506126,3,0.3
0.7266666666666667,0.7068497068497068,0.02490224749844805,0.0009523809523809268,199.23641606662503,3,0.6
0.6866666666666666,0.6707299985988511,0.02490224749844805,0.0019047619047618536,200.03844469743092,3,1.0
0.6666666666666666,0.656341642228739,0.02739791520172764,0.001904761904761909,203.2915677673514,3,2.0
0.6733333333333333,0.6721530844373076,0.007503184863293606,0.027619047619047654,216.41060735063581,3,5.0
0.6666666666666666,0.6170343137254902,0.001962366441649545,0.03591397849462363,205.3122221199244,4,0.0
0.6866666666666666,0.6525553200926519,0.001362754473367737,0.06989247311827956,205.2003587284663,4,0.3
0.6733333333333333,0.6440850322018303,0.00032571514326418943,0.07548387096774195,205.54965958332343,4,0.6
0.6933333333333334,0.6723024316109423,0.0008721628629553556,0.07440860215053763,206.49827896129784,4,1.0
0.6133333333333333,0.6063348416289593,0.00026918606881338135,0.09956989247311832,210.24170360145138,4,2.0
0.56,0.5592948717948718,0.0005276046948742275,0.0713978494623656,225.22005676935652,4,5.0
0.72,0.6961805555555556,0.0030864197530864226,0.05379310344827587,200.19866794047996,5,0.0
0.68,0.6647420376233936,0.0030864197530864226,0.03885057471264364,200.21528247277226,5,0.3
0.6666666666666666,0.6546325290108675,0.0013717421124828572,0.04666666666666669,200.7359945634484,5,0.6
0.66,0.6502857142857142,0.00034293552812071637,0.061149425287356285,201.9494491064335,5,1.0
0.6666666666666666,0.6637374461979914,0.0030864197530864226,0.12574712643678165,206.36332869753267,5,2.0
0.6,0.5974235104669887,0.0030864197530864226,0.14206896551724135,222.93502994466687,5,5.0
