Accuracy,MacroF1,TPR_gap_squared,DP_gap,Welfare,seed,lambda_norm
0.5133333333333333,0.4551967759590029,7.831644018712686e-06,0.0673684210526315,238.8824052848261,0.0,5.0
0.6533333333333333,0.6533333333333333,0.0005578353525821,0.0071794871794872,208.7387286437776,1.0,0.3
0.4866666666666667,0.4000311672120928,0.0008910670527957,0.0666666666666666,248.77939462480973,2.0,5.0
0.6666666666666666,0.6628304261823413,0.0007269475227802,0.0672727272727272,212.36876813885235,3.0,2.0
0.5933333333333334,0.5911345457795254,0.0001278505298432,0.0285057471264367,212.15817818049624,4.0,0.3
0.5533333333333333,0.5276145710928319,9.611687812379783e-07,0.0661538461538461,221.43447493019087,5.0,2.0
0.62,0.6124031007751938,0.0002824659275474,0.1378947368421053,214.46008643685025,7.0,1.0
0.66,0.6486151302190988,0.0003020532471617,0.0868926553672316,213.1040880092804,8.0,2.0
0.58,0.5680000000000001,0.0003111370494266,0.0420338983050847,214.2489836730021,9.0,1.0
