Accuracy,MacroF1,TPR_gap_squared,DP_gap,Welfare,seed,lambda_norm
0.4666666666666667,0.4377811094452773,0.0003559985760056,0.1266666666666667,245.4326004684708,0.0,5.0
0.48,0.4518365817091454,0.0003429355281207,0.1333333333333333,243.6843588818925,1.0,5.0
0.4666666666666667,0.4340690435766836,0.0,0.1133333333333332,231.96152158392303,2.0,5.0
0.6933333333333334,0.6919642857142857,0.0001744393022427,0.3023529411764706,204.58960838451327,3.0,1.0
0.4466666666666666,0.4108182291420188,0.0003559985760056,0.1066666666666666,250.5336925716425,4.0,5.0
0.4733333333333333,0.439212531352042,0.0,0.1133333333333332,243.48998206454007,5.0,5.0
0.4533333333333333,0.4158434650455926,0.0,0.0999999999999999,248.14969058015024,6.0,5.0
0.4266666666666667,0.3778935185185185,0.0003429355281207,0.0799999999999999,249.21952617849087,7.0,5.0
0.44,0.3923611111111111,0.0,0.0799999999999999,243.55749411596327,8.0,5.0
0.5333333333333333,0.53125,0.0006730598077607,0.2152380952380952,218.30358134659372,9.0,2.0
