Accuracy,MacroF1,TPR_gap_squared,DP_gap,Welfare,seed,lambda_hat
0.5933333333333334,0.5835419416503573,0.0010405827263267411,0.05310344827586211,221.0203905560895,0,5.0
0.56,0.5331069609507639,0.0022675736961451295,0.052727272727272734,235.64945645965133,1,5.0
0.5333333333333333,0.5230741279069768,0.00026014568158168886,0.008602150537634468,225.21243430029597,2,5.0
0.5333333333333333,0.5110821382007823,0.0028404564401055196,0.10384615384615381,228.34295337848476,3,5.0
0.5533333333333333,0.5405714285714286,0.0004791458727091272,0.049696969696969684,229.72421990915166,4,5.0
0.5333333333333333,0.49363425925925924,0.0010078105316200553,0.06452830188679248,233.01170951386092,5,5.0
0.54,0.5245969408846631,7.918822174186969e-05,0.033333333333333326,221.3505345000147,6,5.0
0.5266666666666666,0.5025921255429452,0.0018262838775659253,0.06153846153846154,234.95428934021893,7,5.0
0.5933333333333334,0.5797161361444123,2.799473698944657e-05,0.043921568627451,233.64766334631173,8,5.0
0.5066666666666667,0.48611111111111116,0.0002601456815816853,0.037894736842105314,239.27529074752553,9,5.0
