Accuracy,MacroF1,TPR_gap_squared,DP_gap,Welfare,seed,lambda_hat
0.6,0.5988589766446781,0.002756465344649014,0.0557894736842105,223.44173857149224,0,5.0
0.5733333333333334,0.5730297100160113,0.0016598079561042527,0.03578947368421059,221.5618519908453,1,5.0
0.6733333333333333,0.6721530844373076,0.0007797792808828799,0.06787878787878787,210.78412869382714,2,5.0
0.6733333333333333,0.6721530844373076,0.007503184863293606,0.027619047619047654,216.41060735063581,3,5.0
0.56,0.5592948717948718,0.0005276046948742275,0.0713978494623656,225.22005676935652,4,5.0
0.6,0.5974235104669887,0.0030864197530864226,0.14206896551724135,222.93502994466687,5,5.0
0.5933333333333334,0.5931706015739628,0.0001281594873620505,0.00045197740112989937,227.42677851317086,6,5.0
0.58,0.5799813325036669,0.00012986907573802237,0.012121212121212088,223.23311374160897,7,5.0
0.56,0.5592948717948718,0.0021777777777777746,0.018412698412698325,220.8487695440589,8,5.0
0.5733333333333334,0.5726495726495726,0.001365279261105171,0.05290780141843965,236.0211031909384,9,5.0
