Accuracy,MacroF1,TPR_gap_squared,DP_gap,Welfare,seed,lambda_norm
0.5933333333333334,0.5911345457795254,0.012845854101693031,0.15157894736842104,211.3764974658291,0,0.0
0.64,0.6383928571428572,0.005226534654154593,0.16947368421052633,211.2404430725971,0,0.3
0.6266666666666667,0.6242619431025228,0.005226534654154593,0.17368421052631577,211.79550887331172,0,0.6
0.6266666666666667,0.6242619431025228,0.005226534654154593,0.17368421052631577,213.210241740963,0,1.0
0.6133333333333333,0.6063348416289593,0.00297798263811539,0.1729824561403509,218.5590064891129,0,2.0
0.5133333333333333,0.45519677595900293,7.831644018712686e-06,0.06736842105263152,238.88240528482612,0,5.0
0.6533333333333333,0.6533333333333333,0.0005578353525821257,0.007179487179487243,208.20211670357764,1,0.0
0.6533333333333333,0.6533333333333333,0.0005578353525821257,0.007179487179487243,208.7387286437776,1,0.3
0.66,0.651813754494561,0.006221581972604304,0.06923076923076932,209.7867903923942,1,0.6
0.64,0.6288489736070382,0.006221581972604304,0.08000000000000007,211.69085507710628,1,1.0
0.5933333333333334,0.5699177438307873,0.004004340352248494,0.08153846153846156,217.80086112496974,1,2.0
0.5466666666666666,0.5039875510601051,0.002273640780246635,0.06769230769230772,238.96214670057387,1,5.0
0.5666666666666667,0.5651010303760203,0.001078191133882825,0.08113475177304968,213.5539361027275,2,0.0
0.5866666666666667,0.5791855203619909,0.0015447637434716918,0.058014184397163104,214.0120351845148,2,0.3
0.5866666666666667,0.5791855203619909,0.0015447637434716918,0.058014184397163104,215.16238256865697,2,0.6
0.5533333333333333,0.5359896578789418,0.0012831365560258357,0.019290780141843933,217.3353289765882,2,1.0
0.54,0.5135135135135136,0.0010457661939060855,0.0005673758865248901,224.40450548088796,2,2.0
0.4866666666666667,0.40003116721209286,0.0008910670527957214,0.06666666666666665,248.77939462480975,2,5.0
0.66,0.6581616694222261,0.002804867673992783,0.035151515151515156,207.49886459036264,3,0.0
0.6866666666666666,0.6863181312569522,2.318072457844838e-07,0.07999999999999996,207.03340616660176,3,0.3
0.6866666666666666,0.6863181312569522,2.318072457844838e-07,0.07999999999999996,207.24102117038305,3,0.6
