Accuracy,MacroF1,TPR_gap_squared,DP_gap,Welfare,seed,lambda_hat
0.6466666666666666,0.4260342213558588,0.0,0.004210526315789553,237.92861593182437,0,5.0
0.6466666666666666,0.4100185528756957,0.0,0.00666666666666671,239.16794383093995,1,5.0
0.64,0.4072014051522248,0.0,0.010282485875706127,242.24134265294398,2,5.0
0.6533333333333333,0.4442861214021089,0.0,0.002456140350877156,254.13114567331954,3,5.0
0.6333333333333333,0.3877551020408163,0.0,0.0,242.18666446376625,4,5.0
0.66,0.4476933073424301,0.0,0.020000000000000018,234.5063632447588,5,5.0
0.6466666666666666,0.4408889514030523,0.0002493074792243748,0.031025641025641093,238.72151591476353,6,5.0
0.6533333333333333,0.42915690866510536,0.0,0.0027956989247311936,241.24595486678106,7,5.0
0.6533333333333333,0.42915690866510536,0.0,0.00666666666666671,236.18655534011916,8,5.0
0.64,0.4072014051522248,0.0,0.00666666666666671,237.11705302431145,9,5.0
