Accuracy,MacroF1,TPR_gap_squared,DP_gap,Welfare,seed,lambda_norm
0.64,0.4375,0.0004432132963988,0.0333333333333333,209.60063179353293,0.0,0.3
0.6933333333333334,0.5626267748478702,0.0009765625,0.0933333333333333,206.14011937630025,1.0,0.0
0.6866666666666666,0.5576886881234707,0.0009972299168975,0.0933333333333333,207.7006412230024,2.0,0.0
0.6333333333333333,0.3877551020408163,0.0,0.0,258.9589566605722,3.0,5.0
0.6333333333333333,0.3877551020408163,0.0,0.0,260.1037266054851,4.0,5.0
0.64,0.3902439024390244,0.0,0.0,260.60586200217654,5.0,5.0
0.6333333333333333,0.3877551020408163,0.0,0.0,259.59297403635884,6.0,5.0
0.64,0.3902439024390244,0.0,0.0,262.82470422888844,7.0,5.0
0.6533333333333333,0.4714014638113309,0.0009765625,0.0533333333333333,207.1053843164776,8.0,0.3
0.6866666666666666,0.5745579627059321,0.0007975730051199,0.0995918367346938,204.45309051355903,9.0,0.0
