Accuracy,MacroF1,TPR_gap_squared,DP_gap,Welfare,seed,lambda_hat
0.6333333333333333,0.3877551020408163,0.0,0.0,262.8060212809873,0,5.0
0.64,0.3902439024390244,0.0,0.0,260.7447423873011,1,5.0
0.6333333333333333,0.3877551020408163,0.0,0.0,256.3010561417867,2,5.0
0.6333333333333333,0.3877551020408163,0.0,0.0,258.9589566605722,3,5.0
0.6333333333333333,0.3877551020408163,0.0,0.0,260.1037266054851,4,5.0
0.64,0.3902439024390244,0.0,0.0,260.60586200217654,5,5.0
0.6333333333333333,0.3877551020408163,0.0,0.0,259.59297403635884,6,5.0
0.64,0.3902439024390244,0.0,0.0,262.82470422888844,7,5.0
0.64,0.3902439024390244,0.0,0.0,253.06566768674242,8,5.0
0.6333333333333333,0.3877551020408163,0.0,0.0,258.7432021480049,9,5.0
