Accuracy,MacroF1,TPR_gap_squared,DP_gap,Welfare,seed,lambda_hat
0.5133333333333333,0.43774069319640563,0.000222766763198932,0.034545454545454546,244.7919571860955,0,5.0
0.49333333333333335,0.3968253968253968,0.00021626297577854517,0.009166666666666656,253.46994471103756,1,5.0
0.47333333333333333,0.3844475611656537,0.0004791960595034762,0.07619047619047625,250.92439318560054,2,5.0
0.48,0.415,0.0036539318333704595,0.06313725490196087,255.18609559932418,3,5.0
0.47333333333333333,0.39820222436646185,0.0025374526620628207,0.035698924731182746,254.8713563165287,4,5.0
0.4866666666666667,0.38495127536077534,0.0026999231064975047,0.022298850574712703,253.27400838601525,5,5.0
0.4666666666666667,0.3650793650793651,0.018718596074354592,0.06871794871794878,252.4017131981028,6,5.0
0.52,0.43561872909698995,0.0,0.004166666666666652,247.65427881604376,7,5.0
0.4866666666666667,0.40003116721209286,0.0001308257507796163,0.04208333333333336,250.94643429458142,8,5.0
0.44666666666666666,0.337025400713563,0.024094453107596326,0.1266666666666666,258.8091177411599,9,5.0
