Accuracy,MacroF1,TPR_gap_squared,DP_gap,Welfare,seed,lambda_hat
0.5333333333333333,0.48489010989010994,0.00310061017002773,0.033333333333333326,236.37783694478273,0,5.0
0.5266666666666666,0.46479722599125584,0.0035201235141885004,0.09840796019900488,241.26295937095585,1,5.0
0.5,0.4286729978162612,0.00020947030809523093,0.02086956521739136,245.24158514454365,2,5.0
0.54,0.5066495066495067,0.0017621199042102893,0.03851851851851851,236.2475798354642,3,5.0
0.5066666666666667,0.43928066276015354,8.211682980164727e-05,0.010447761194029792,239.99078610700144,4,5.0
0.5333333333333333,0.475,0.0007458865899300904,0.06366197183098588,239.1672229137816,5,5.0
0.5266666666666666,0.46479722599125584,2.045608477492458e-07,0.011428571428571455,238.11195313968474,6,5.0
0.6133333333333333,0.5923913043478262,0.000540319880170961,0.04756218905472642,233.3285141061445,7,5.0
0.56,0.505,0.0010832764478340424,0.08833333333333337,230.76814657030297,8,5.0
0.49333333333333335,0.4178921568627451,0.002004900868790378,0.014202898550724652,243.5672404414084,9,5.0
