Accuracy,MacroF1,TPR_gap_squared,DP_gap,Welfare,seed,lambda_norm
0.66,0.6263736263736264,0.0001514171637075,0.039298245614035,209.3045971093164,0.0,1.0
0.6466666666666666,0.6263219741480611,0.0006721536351165,0.0143859649122806,207.285080979992,1.0,1.0
0.6733333333333333,0.6721530844373076,0.0007797792808828,0.0678787878787878,210.78412869382717,2.0,5.0
0.6933333333333334,0.6723024316109423,0.0008721628629553,0.0744086021505376,206.49827896129784,4.0,1.0
0.66,0.6502857142857142,0.0003429355281207,0.0611494252873562,201.9494491064335,5.0,1.0
0.5933333333333334,0.5931706015739628,0.000128159487362,0.0004519774011298,227.4267785131709,6.0,5.0
0.7066666666666667,0.688737973967176,3.246726893450559e-05,0.009090909090909,205.8056613508575,7.0,1.0
0.7,0.6703296703296704,1.975308641975334e-05,0.025079365079365,205.70595370142877,8.0,0.3
