Accuracy,MacroF1,TPR_gap_squared,DP_gap,Welfare,seed,lambda_hat
0.4533333333333333,0.37193627450980393,0.0002601456815816853,0.053333333333333344,247.52658459370548,0,5.0
0.4666666666666667,0.38725490196078427,0.0002519526329050156,0.011428571428571344,251.9792773529108,1,5.0
0.42,0.30507481761542143,0.0,0.00666666666666671,248.1529052665039,2,5.0
0.46,0.3894165535956581,0.00031477627471384234,0.034871794871794926,247.88722767152126,3,5.0
0.4533333333333333,0.3648006610204503,0.0,0.040000000000000036,252.10043888684217,4,5.0
0.43333333333333335,0.3524960641917627,0.004031242126480221,0.06666666666666665,249.7553128299413,5,5.0
0.43333333333333335,0.32961775067038224,0.0,0.020000000000000018,250.2709720635131,6,5.0
0.44666666666666666,0.35328034907277545,0.0002519526329050156,0.0015384615384615996,249.5313064474961,7,5.0
0.4533333333333333,0.3572324414715719,0.0,0.033333333333333326,247.35649703180067,8,5.0
0.4666666666666667,0.4,0.0010405827263267411,0.07999999999999996,250.08638564711197,9,5.0
