Accuracy,MacroF1,TPR_gap_squared,DP_gap,Welfare,seed,lambda_norm
0.6333333333333333,0.6320085641643249,0.010676986875215021,0.08000000000000002,208.19302078685507,0,0.0
0.6133333333333333,0.6132645803698435,0.017736979678135003,0.08666666666666673,208.32219339342123,0,0.3
0.6466666666666666,0.6458955057681173,0.014950747454988594,0.09333333333333338,209.05532087909444,0,0.6
0.6266666666666667,0.6242619431025228,0.009749011719640772,0.06000000000000005,210.6330580546524,0,1.0
0.5933333333333334,0.5835419416503573,0.020596039496942557,0.06666666666666665,216.17145288817957,0,2.0
0.5333333333333333,0.48489010989010994,0.00310061017002773,0.033333333333333326,236.37783694478273,0,5.0
0.6266666666666667,0.6266002844950214,0.0003332661315208029,0.05194029850746262,208.9366460744746,1,0.0
0.6333333333333333,0.630558416550983,1.0285991713603526e-06,0.06815920398009956,209.29873075009286,1,0.3
0.62,0.6124031007751938,0.00011340305864249662,0.0745273631840796,210.3208145937252,1,0.6
0.62,0.6072757337742869,0.0029993951836872383,0.09422885572139306,212.3046518801181,1,1.0
0.5933333333333334,0.5699177438307873,0.002469666610436582,0.1005970149253731,218.83035054750286,1,2.0
0.5266666666666666,0.46479722599125584,0.0035201235141885004,0.09840796019900488,241.26295937095585,1,5.0
0.6066666666666667,0.6052455506490031,0.0005964994320368062,0.01391304347826089,211.62814774491477,2,0.0
0.58,0.5798319327731092,0.0030948010655983647,0.006376811594202891,211.94294773728535,2,0.3
0.56,0.5580357142857143,0.0006646181943373053,0.017681159420289805,212.95792162263365,2,0.6
0.58,0.5745351402458241,0.00034386678506648634,0.0434782608695653,214.98947685591594,2,1.0
0.5733333333333334,0.5555555555555556,0.00017203567295711865,0.014782608695652177,221.7486582450739,2,2.0
0.5,0.4286729978162612,0.00020947030809523093,0.02086956521739136,245.24158514454365,2,5.0
0.6333333333333333,0.6296296296296295,0.0011912800735130282,0.02740740740740738,211.1750548453391,3,0.0
0.6333333333333333,0.6325330720235178,0.003964769784473157,0.043703703703703745,210.75838560856715,3,0.3
0.6266666666666667,0.6266002844950214,0.008357234350634877,0.06666666666666665,211.11436276459932,3,0.6
0.64,0.6376811594202898,4.2638950768545397e-05,0.014814814814814836,212.3363232610506,3,1.0
0.6066666666666667,0.5971963042191981,4.894777511695274e-05,0.021481481481481435,217.27300041530094,3,2.0
0.54,0.5066495066495067,0.0017621199042102893,0.03851851851851851,236.2475798354642,3,5.0
0.5933333333333334,0.5933152584559314,0.00019207950500315857,0.08019900497512444,210.30040917074928,4,0.0
0.58,0.5795328142380423,0.001910565963966334,0.0849751243781095,210.4179270089504,4,0.3
0.58,0.5768214589583986,0.004582914698514739,0.09134328358208954,211.19991000129437,4,0.6
0.56,0.5520361990950227,0.003823405058169403,0.0745273631840796,212.8853096420301,4,1.0
0.5533333333333333,0.5405714285714286,0.0031326576074849626,0.07104477611940296,218.7730346277129,4,2.0
0.5066666666666667,0.43928066276015354,8.211682980164727e-05,0.010447761194029792,239.99078610700144,4,5.0
0.64,0.6397438178260095,0.032642468752206735,0.04112676056338033,210.38839387263647,5,0.0
0.6333333333333333,0.633317036312725,0.022879740131346627,0.018122065727699588,210.51695932449718,5,0.3
