Accuracy,MacroF1,TPR_gap_squared,DP_gap,Welfare,seed,lambda_norm
0.6466666666666666,0.4795417348608838,0.0017728531855955695,0.04166666666666663,207.21123228615457,0,0.0
0.64,0.4375,0.00044321329639889005,0.033333333333333326,209.60063179353295,0,0.3
0.6333333333333333,0.4197904212673184,0.00044321329639889005,0.026666666666666616,212.70490824486416,0,0.6
0.6266666666666667,0.40153889997150183,0.00044321329639889005,0.020000000000000018,217.30344885765686,0,1.0
0.6333333333333333,0.3877551020408163,0.0,0.0,229.3203922434509,0,2.0
0.6333333333333333,0.3877551020408163,0.0,0.0,262.8060212809873,0,5.0
0.6933333333333334,0.5626267748478702,0.0009765625,0.09333333333333338,206.14011937630025,1,0.0
0.66,0.4619874815387861,0.00010850694444444368,0.033333333333333326,208.18157653203343,1,0.3
0.64,0.4072014051522248,0.00010850694444444368,0.013333333333333308,211.06488850202135,1,0.6
0.64,0.3902439024390244,0.0,0.0,215.47077880852825,1,1.0
0.64,0.3902439024390244,0.0,0.0,227.2574070579923,1,2.0
0.64,0.3902439024390244,0.0,0.0,260.7447423873011,1,5.0
0.6866666666666666,0.5576886881234707,0.0009972299168975061,0.09333333333333338,207.7006412230024,2,0.0
0.66,0.47527265244529804,0.00011080332409972368,0.040000000000000036,209.34678925842067,2,0.3
0.64,0.42291251068680535,0.00011080332409972368,0.020000000000000018,211.82363247417484,2,0.6
0.6333333333333333,0.3877551020408163,0.0,0.0,215.70105739995182,2,1.0
0.6333333333333333,0.3877551020408163,0.0,0.0,226.213696715047,2,2.0
0.6333333333333333,0.3877551020408163,0.0,0.0,256.3010561417867,2,5.0
0.62,0.5180111618467782,0.02171745152354571,0.17333333333333334,216.02654774911537,3,0.0
0.5933333333333334,0.43723476228550345,0.013407202216066488,0.10666666666666669,216.40090222621072,3,0.3
0.6,0.4172494172494173,0.007091412742382278,0.07333333333333336,218.0899035077517,3,0.6
0.6266666666666667,0.4166666666666667,0.0009972299168975061,0.033333333333333326,221.26773390632115,3,1.0
0.6333333333333333,0.3877551020408163,0.0,0.0,230.73751484336708,3,2.0
0.6333333333333333,0.3877551020408163,0.0,0.0,258.9589566605722,3,5.0
0.6666666666666666,0.5668745668745668,0.008975069252077555,0.15333333333333332,206.87154841556537,4,0.0
0.6533333333333333,0.494949494949495,0.0017728531855955695,0.07333333333333336,208.60024214826677,4,0.3
0.6333333333333333,0.4197904212673184,0.00044321329639889005,0.026666666666666616,211.2787192590968,4,0.6
0.6333333333333333,0.40437513536928743,0.00011080332409972368,0.013333333333333308,215.49726256034552,4,1.0
0.6333333333333333,0.3877551020408163,0.0,0.0,226.9993846704642,4,2.0
0.6333333333333333,0.3877551020408163,0.0,0.0,260.1037266054851,4,5.0
0.6533333333333333,0.4835805084745763,0.001736111111111108,0.06666666666666665,208.81312191428333,5,0.0
0.64,0.42291251068680535,0.0004340277777777793,0.026666666666666616,210.91551413770776,5,0.3
0.64,0.4072014051522248,0.00010850694444444368,0.013333333333333308,213.76803395893518,5,0.6
0.64,0.4072014051522248,0.00010850694444444368,0.013333333333333308,218.05443472973184,5,1.0
0.6333333333333333,0.3877551020408163,0.00010850694444444368,0.00666666666666671,229.3077469392857,5,2.0
0.64,0.3902439024390244,0.0,0.0,260.60586200217654,5,5.0
0.6533333333333333,0.5568181818181819,0.013407202216066488,0.16666666666666663,208.3756324220302,6,0.0
0.64,0.4755244755244755,0.0027700831024930804,0.07333333333333336,209.9571922201082,6,0.3
0.6333333333333333,0.4341175663625763,0.0009972299168975061,0.040000000000000036,212.50449719367657,6,0.6
0.6266666666666667,0.40153889997150183,0.00044321329639889005,0.020000000000000018,216.55704181152754,6,1.0
0.6266666666666667,0.38524590163934425,0.00011080332409972368,0.00666666666666671,227.67024138838582,6,2.0
0.6333333333333333,0.3877551020408163,0.0,0.0,259.59297403635884,6,5.0
0.6266666666666667,0.5148995148995149,0.004094476332199546,0.10871794871794871,210.906978598296,7,0.0
0.6266666666666667,0.4438559322033898,0.0007174744897959192,0.04102564102564099,212.4974732376067,7,0.3
0.62,0.4135400233212154,0.00026794571995465027,0.021025641025640973,215.06966265884623,7,0.6
0.6133333333333333,0.38016528925619836,3.5430839002267324e-05,0.0010256410256409554,219.1687495394942,7,1.0
0.6266666666666667,0.38524590163934425,0.00022144274376417077,0.012307692307692353,230.418572102547,7,2.0
0.64,0.3902439024390244,0.0,0.0,262.82470422888844,7,5.0
0.68,0.5527950310559007,0.002712673611111115,0.10666666666666669,205.7642191321145,8,0.0
0.6533333333333333,0.47140146381133097,0.0009765625,0.053333333333333344,207.10538431647757,8,0.3
0.64,0.42291251068680535,0.0004340277777777793,0.026666666666666616,209.37777415793113,8,0.6
0.6466666666666666,0.4100185528756957,0.0,0.00666666666666671,213.0660040462999,8,1.0
0.64,0.3902439024390244,0.0,0.0,223.31142025466136,8,2.0
0.64,0.3902439024390244,0.0,0.0,253.06566768674242,8,5.0
0.6866666666666666,0.5745579627059321,0.000797573005119959,0.09959183673469385,204.45309051355906,9,0.0
0.66,0.50996092498879,0.0003138219072211666,0.059591836734693815,206.67487992297663,9,0.3
0.6466666666666666,0.4546951094039372,1.1139656021923819e-05,0.01959183673469389,209.61723381788448,9,0.6
0.64,0.4072014051522248,0.0,0.00666666666666671,214.03058054212528,9,1.0
0.6333333333333333,0.3877551020408163,0.0,0.0,225.71252670317136,9,2.0
0.6333333333333333,0.3877551020408163,0.0,0.0,258.7432021480049,9,5.0
